crop fb gr1 gr2 or ot po sb sw wb ww
fb 0 0 0 0 0 0 0 0 0 1
gr1 0 0 1 0 0 0 0 0 0 0
gr2 0 0 0.615384615384615 0 0.153846153846154 0 0.153846153846154 0 0 0.076923076923077
or 0 0 0 0 0 0 0 0.125 0 0.875
ot 0.166666666666667 0.583333333333333 0 0.0833333333333333 0 0 0 0 0.0833333333333333 0.0833333333333333
po 0.0511658523042027 0.258881974847528 0 0.113219519030675 0.176073033317924 0.0217283189908624 0.0311953644855896 0.082919440322794 0.0517571436242033 0.213059353076221
sb 0 0.5 0 0.5 0 0 0 0 0 0
sw 0 0 0 0.5 0.25 0 0 0 0 0.25
wb 0 0 0 1 0 0 0 0 0 0
ww 0 0 0 0.333333333333333 0 0.111111111111111 0 0 0.222222222222222 0.333333333333334
