crop fb gr1 gr2 ma or ot po sb sw wb ww
fb 0.0175131348511384 0.0910683012259194 0 0.0140105078809107 0.0122591943957968 0.0437828371278459 0.0087565674255694 0.106830122591944 0.0367775831873905 0.0647985989492119 0.604203152364273
gr1 0 0 1 0 0 0 0 0 0 0 0
gr2 0.0372388737511354 0 0.417196488041174 0.0187708144111414 0.026642446260975 0.0859824402058736 0.00696336663639117 0.106267029972752 0.0345140781108087 0.0702391765062065 0.196185286103542
ma 0.0180722891566265 0.385542168674699 0 0.0421686746987959 0 0.0843373493975904 0 0.120481927710843 0.0301204819277108 0.0180722891566265 0.301204819277108
or 0.000829187396351575 0.0103648424543947 0 0.00248756218905429 0.000414593698175788 0.00953565505804312 0 0.0323383084577114 0.0111940298507463 0.0219734660033168 0.910862354892206
ot 0.0272969374167776 0.189081225033289 0 0.014647137150466 0.106524633821571 0.117842876165113 0.00266311584553928 0.0865512649800266 0.025965379494008 0.117177097203728 0.312250332889481
po 0 0.0654761904761905 0 0.0119047619047619 0 0.0416666666666667 0 0.0416666666666671 0.0119047619047619 0.00595238095238095 0.821428571428571
sb 0.0190217391304348 0.179347826086957 0 0.0298913043478261 0.0923913043478245 0.0815217391304348 0.00996376811594203 0.160326086956522 0.0652173913043478 0.153079710144928 0.209239130434783
sw 0.0690909090909091 0.0781818181818182 0 0.00818181818181818 0.0563636363636364 0.0609090909090909 0.00909090909090909 0.160909090909091 0.06 0.247272727272727 0.25
wb 0.0242443324937028 0.0859571788413098 0 0.00818639798488665 0.475755667506297 0.0434508816120907 0.00535264483627204 0.0465994962216625 0.0163727959697733 0.162468513853904 0.131612090680101
ww 0.0337078651685395 0.0346709470304976 0 0.0105939004815409 0.0810593900481541 0.0553772070626003 0.0139646869983949 0.0889245585874799 0.0290529695024077 0.273675762439807 0.378972712680578
