crop fb gr1 gr2 ma or ot po sb sw wb ww
fb 0.0222222222222222 0.0962962962962963 0 0.0592592592592593 0.0333333333333337 0.148148148148148 0.0259259259259259 0.103703703703704 0.107407407407407 0.0925925925925926 0.311111111111111
gr1 0 0 1 0 0 0 0 0 0 0 0
gr2 0.00620347394540943 0 0.715415632754342 0.0553660049627792 0.00310173697270494 0.0533498759305218 0.0103908188585608 0.0642059553349876 0.0266749379652605 0.0214019851116625 0.0438895781637717
ma 0.00313152400835073 0.160751565762004 0 0.466597077244259 0.00313152400835073 0.0876826722338205 0.0208768267223382 0.058455114822547 0.0511482254697286 0.0229645093945723 0.125260960334029
or 0.00518134715025907 0.0466321243523312 0 0.0259067357512953 0.0129533678756477 0.0595854922279794 0.00259067357512953 0.0673575129533679 0.0699481865284974 0.0854922279792746 0.624352331606218
ot 0.0119313944817301 0.167039522744221 0 0.0969425801640567 0.0290827740492161 0.302013422818792 0.0469798657718121 0.108128262490679 0.0954511558538404 0.0492170022371365 0.093214019388516
po 0.00263157894736842 0.0631578947368421 0 0.168421052631579 0 0.136842105263158 0.0499999999999996 0.155263157894737 0.186842105263158 0.0552631578947368 0.181578947368421
sb 0.00747126436781609 0.263218390804598 0 0.0683908045977012 0.0160919540229885 0.0994252873563218 0.0247126436781609 0.239655172413793 0.107471264367816 0.104022988505747 0.0695402298850575
sw 0.00773993808049547 0.159442724458204 0 0.0804953560371518 0.0216718266253874 0.130030959752322 0.0170278637770895 0.246130030959752 0.120743034055728 0.128482972136223 0.0882352941176468
wb 0.0152788388082506 0.185637891520244 0 0.0412528647822765 0.103132161955691 0.0954927425515665 0.0206264323911383 0.137509549274255 0.067990832696715 0.223834988540871 0.109243697478992
ww 0.0216567406605306 0.114780725500812 0 0.0720086626962642 0.0638873849485652 0.0779642663779101 0.0378992961559285 0.105576610720087 0.0860855441256093 0.159718462371413 0.26042230644288
