crop be fb gr1 gr2 ma or ot po sb sw wb ww
be 0.0396039603960396 0.0099009900990099 0 0 0.0396039603960396 0 0.118811881188119 0.0396039603960396 0.158415841584157 0.247524752475248 0 0.346534653465347
fb 0.0110192837465565 0.00826446280991736 0.0220385674931129 0 0.0220385674931129 0.0358126721763085 0.0606060606060599 0.0165289256198347 0.0853994490358127 0.129476584022039 0.0826446280991736 0.526170798898072
gr1 0 0 0 1 0 0 0 0 0 0 0 0
gr2 0.00946372239747634 0.0126182965299684 0 0.545741324921135 0.0362776025236594 0.00788643533123029 0.0615141955835962 0.0141955835962145 0.0630914826498423 0.0520504731861198 0.0520504731861198 0.145110410094638
ma 0.0377358490566038 0.00943396226415205 0.193396226415094 0 0.0990566037735849 0.00471698113207547 0.202830188679245 0.0471698113207547 0.0566037735849057 0.10377358490566 0.0235849056603774 0.221698113207547
or 0.00277008310249307 0 0.00831024930747922 0 0.00138504155124654 0 0.0346260387811634 0.00138504155124654 0.0443213296398892 0.0401662049861496 0.0401662049861496 0.826869806094183
ot 0.0182481751824811 0.0225060827250608 0.254257907542579 0 0.0425790754257908 0.0711678832116788 0.119829683698297 0.0182481751824818 0.0468369829683698 0.0815085158150852 0.0760340632603406 0.248783454987835
po 0.0130718954248366 0.0130718954248366 0.0130718954248367 0 0.0196078431372549 0 0.0718954248366013 0 0.0588235294117647 0.065359477124183 0.0261437908496732 0.718954248366013
sb 0.0297482837528604 0.045766590389016 0.116704805491991 0 0.034324942791762 0.139588100686499 0.135011441647597 0.0297482837528604 0.0938215102974828 0.091533180778032 0.128146453089245 0.155606407322654
sw 0.015625 0.0426136363636364 0.0383522727272727 0 0.0170454545454545 0.105113636363636 0.142045454545455 0.0355113636363636 0.0994318181818182 0.0994318181818182 0.164772727272727 0.240056818181818
wb 0.0365358592692828 0.0378890392422192 0.0920162381596752 0 0.0257104194857916 0.315290933694182 0.144790257104195 0.0284167794316644 0.0717185385656292 0.060893098782138 0.11637347767253 0.0703653585926928
ww 0.0299550673989007 0.0389415876185721 0.0274588117823265 0 0.0144782825761358 0.125811283075387 0.123315027458812 0.0504243634548178 0.0798801797304044 0.0853719420868697 0.160758861707439 0.263604593110335
