crop be fb gr1 gr2 ma or ot po sb sw wb ww
be 0.0349829351535836 0.0196245733788396 0.00597269624573379 0 0.0332764505119454 0.000853242320819113 0.176621160409557 0.0341296928327645 0.159556313993174 0.147610921501706 0.0486348122866894 0.338737201365188
fb 0.00772025431425976 0.0145322434150772 0.0354223433242508 0 0.0104450499545867 0.041780199818347 0.0712988192552225 0.00862851952770209 0.0354223433242507 0.0472297910990009 0.0821980018165304 0.645322434150772
gr1 0 0 0 1 0 0 0 0 0 0 0 0
gr2 0.00887480190174328 0.0335974643423138 0 0.401267828843105 0.0931854199683044 0.0513470681458004 0.0985736925515057 0.00824088748019018 0.0548335974643424 0.0431061806656107 0.0608557844690967 0.146117274167987
ma 0.0233508464681845 0.0192644483362522 0.126678342089901 0 0.221833041447752 0.000583771161704612 0.112084063047285 0.0175131348511384 0.0326911850554583 0.0414477524810274 0.0741389375364857 0.330414477524811
or 0.00359820089955022 0.0047976011994003 0.00854572713643178 0 0.00719640179910045 0.000749625187406297 0.0241379310344828 0.00314842578710645 0.0235382308845577 0.0322338830584708 0.0520239880059972 0.840029985007496
ot 0.0340789933589654 0.0387976232086683 0.141558895491087 0 0.0485844110450887 0.114470464872422 0.196085284865432 0.0325061167423978 0.0576721426074799 0.0580216707444949 0.0604683677036001 0.217756029360364
po 0.0453488372093023 0.0104651162790698 0.00930232558139535 0 0.0290697674418605 0.00697674418604651 0.116279069767442 0.0279069767441861 0.0511627906976744 0.0383720930232558 0.0534883720930233 0.611627906976744
sb 0.0328272466146898 0.0537546163315552 0.0750923266311038 0 0.0307755437012721 0.290110791957325 0.10299548625359 0.0184653262207632 0.103816167418958 0.086992203528929 0.0927369716864998 0.112433319655314
sw 0.0306569343065693 0.0695863746958635 0.0467153284671533 0 0.0248175182481752 0.20632603406326 0.138199513381995 0.0180048661800487 0.105109489051095 0.104622871046229 0.0948905109489051 0.161070559610706
wb 0.0342601787487587 0.0441906653426018 0.0918570009930483 0 0.0402184707050645 0.399702085402185 0.0844091360476663 0.0111717974180735 0.0466732869910626 0.0414597815292949 0.118421052631579 0.0876365441906653
ww 0.0538333694631115 0.0783293590577355 0.03164968567093 0 0.0354071825998988 0.234554519835248 0.089168292506684 0.026519257171761 0.078690656839367 0.0718259989883662 0.130862056506973 0.169159621359925
