crop be fb gr1 gr2 ma or ot po sb sw wb ww
be 0.0104275286757039 0.0104275286757039 0.0083420229405642 0 0.0417101147028154 0.00417101147028154 0.0969760166840459 0.0260688216892596 0.114702815432742 0.157455683003128 0.0312825860271116 0.498435870698644
fb 0.00285640093482212 0.00804985717995326 0.0186964424824721 0 0.00467411062061802 0.00467411062061802 0.0293430277849909 0.00207738249805245 0.0262269540379122 0.0296027005972475 0.0690729680602441 0.804726045183069
gr1 0 0 0 1 0 0 0 0 0 0 0 0
gr2 0.0166034155597723 0.0488614800759014 0 0.391840607210625 0.0227703984819734 0.0203984819734345 0.131878557874763 0.0128083491461101 0.0483870967741936 0.0664136622390892 0.0559772296015181 0.18406072106262
ma 0.0638297872340418 0.0196399345335516 0.16366612111293 0 0.142389525368249 0 0.150572831423895 0.0180032733224223 0.0458265139116203 0.0425531914893617 0.0343698854337152 0.319148936170213
or 0.000578703703703704 0.000868055555555556 0.00868055555555556 0 0.000578703703703704 0.000578703703703704 0.0199652777777778 0.00115740740740741 0.0118634259259259 0.0263310185185185 0.0503472222222222 0.879050925925926
ot 0.0220878865380144 0.0548709602418042 0.187398279469891 0 0.0234829109509416 0.0383631713554987 0.172285514996512 0.0116252034410602 0.0518484073471286 0.0811439200186003 0.0588235294117649 0.298070216228784
po 0.027681660899654 0.00865051903114187 0.0207612456747405 0 0.0190311418685121 0.00173010380622837 0.0380622837370242 0.0051903114186849 0.0190311418685121 0.0467128027681661 0.055363321799308 0.757785467128028
sb 0.0254139391605699 0.148633038120909 0.0465922217943781 0 0.0119368502117828 0.137081247593377 0.0635348479014247 0.013092029264536 0.134770889487871 0.105891413169041 0.0951097420100116 0.217943781286099
sw 0.0281917035843737 0.114780507450665 0.0519532823197736 0 0.0140958517921869 0.085380587998389 0.0877970197341926 0.0209424083769634 0.0938380990737012 0.128070881997584 0.0829641562625856 0.291985501409585
wb 0.0424448217317487 0.13276740237691 0.0607809847198642 0 0.0129032258064516 0.256366723259762 0.0726655348047538 0.0176570458404075 0.0546689303904924 0.0699490662139219 0.142275042444822 0.137521222410866
ww 0.0429854953314933 0.116389688178989 0.0279523166363263 0 0.0116272241470433 0.10376416700922 0.0604263315520583 0.0211404075400787 0.0845616301603148 0.0795701450466851 0.114686710904927 0.336895883492864
