crop fb gr1 gr2 ma or ot sb sw wb ww
fb 0 0.0476190476190476 0 0 0 0.0476190476190476 0 0 0.0476190476190476 0.857142857142857
gr1 0 0 1 0 0 0 0 0 0 0
gr2 0.0116959064327485 0 0.742690058479532 0.00584795321637427 0 0.169590643274854 0.0175438596491225 0.0233918128654971 0.00584795321637427 0.0233918128654971
ma 0 0.166666666666667 0 0.25 0 0.416666666666667 0.0833333333333329 0.0833333333333333 0 0
or 0 0.2 0 0 0 0.2 0 0 0 0.6
ot 0 0.523255813953488 0 0 0.0116279069767442 0.186046511627907 0.0232558139534884 0.0232558139534887 0.0465116279069767 0.186046511627907
sb 0.476190476190476 0.142857142857143 0 0 0.0476190476190477 0 0.0476190476190476 0.0952380952380952 0.0476190476190476 0.142857142857143
sw 0 0.235294117647059 0 0 0 0.235294117647059 0.117647058823529 0 0.0588235294117647 0.352941176470588
wb 0.0263157894736842 0.342105263157895 0 0 0.210526315789474 0.0526315789473684 0.052631578947368 0.131578947368421 0.0789473684210526 0.105263157894737
ww 0.106194690265487 0.0973451327433628 0 0 0.0353982300884956 0.0884955752212389 0.0973451327433628 0.053097345132743 0.15929203539823 0.36283185840708
