crop fb gr1 gr2 ma or ot po sb sw wb ww
fb 0.115384615384616 0.115384615384615 0 0 0 0.115384615384615 0 0 0.0384615384615385 0.0384615384615385 0.576923076923077
gr1 0 0 1 0 0 0 0 0 0 0 0
gr2 0.0574712643678161 0 0.563218390804598 0.0229885057471264 0 0.172413793103448 0 0.0229885057471264 0.0229885057471264 0.0344827586206897 0.103448275862069
ma 0 0.333333333333334 0 0.111111111111111 0 0.444444444444444 0 0 0 0 0.111111111111111
or 0 0 0 0 0 0.142857142857143 0 0 0 0.285714285714286 0.571428571428571
ot 0.0441176470588235 0.411764705882353 0 0 0.0147058823529412 0.176470588235294 0.0147058823529412 0.0588235294117647 0.0147058823529412 0.0735294117647059 0.191176470588235
po 0.5 0 0 0 0 0 0 0 0 0 0.5
sb 0.333333333333334 0.0833333333333333 0 0 0.208333333333333 0.125 0.0833333333333333 0.0416666666666667 0 0.0416666666666667 0.0833333333333333
sw 0.333333333333333 0.0555555555555556 0 0 0.0555555555555556 0.0555555555555556 0 0 0.111111111111111 0.166666666666667 0.222222222222222
wb 0 0.208333333333333 0 0 0.25 0 0 0.208333333333334 0.0416666666666667 0.0833333333333333 0.208333333333333
ww 0.0869565217391304 0.0869565217391304 0 0.0144927536231884 0.072463768115942 0.159420289855072 0.0579710144927536 0.130434782608696 0.101449275362319 0.115942028985507 0.173913043478261
