crop be fb gr1 gr2 ma or ot po sb sw wb ww
be 0 0 0.1 0 0.3 0 0.2 0.1 0.1 0 0 0.2
fb 0 0.0191734128674904 0.0558159352364721 0 0.0170430336599915 0.0166169578184917 0.0455901150404772 0.00255645504899872 0.0323817639539838 0.0323817639539838 0.110779718789945 0.667660843630166
gr1 0 0 0 1 0 0 0 0 0 0 0 0
gr2 0.000188572506128718 0.0377145012257213 0 0.393739392796531 0.0654346596266265 0.0397887987931359 0.0991891382236459 0.00584574768998679 0.0748632849330566 0.0494059966056948 0.0567603243447105 0.177069583254762
ma 0 0.00853788687299893 0.172358591248666 0 0.226254002134472 0.00213447171824973 0.0971184631803629 0.0224119530416222 0.0384204909284952 0.0245464247598719 0.0768409818569902 0.331376734258271
or 0 0.00153491941673062 0.0161166538756715 0 0.00537221795855718 0.000511639805576874 0.0196981325147096 0.000511639805576208 0.0115118956254797 0.0130468150422103 0.125607572269123 0.806088513686365
ot 0.000655594405594406 0.0332167832167832 0.276442307692308 0 0.0572552447552448 0.0563811188811189 0.182255244755245 0.0131118881118879 0.0541958041958042 0.041520979020979 0.0688374125874126 0.216127622377622
po 0.0029673590504451 0.0029673590504451 0.0385756676557863 0 0.0593471810089021 0 0.100890207715134 0.0237388724035608 0.0474777448071217 0.0178041543026706 0.0979228486646884 0.608308605341246
sb 0.00113830392714855 0.0600455321570863 0.0924871940808196 0 0.0338645418326693 0.267501422879909 0.0700056915196357 0.00597609561752988 0.18981217985202 0.091348890153671 0.0939100739897553 0.0939100739897553
sw 0 0.0650095602294455 0.121733588272785 0 0.0312300828553217 0.134480560866794 0.082855321861058 0.00446144040790312 0.105799872530274 0.103887826641173 0.0936902485659656 0.25685149776928
wb 0.000331564986737401 0.0593501326259947 0.125663129973475 0 0.0464190981432361 0.367042440318302 0.0679708222811671 0.00928381962864721 0.0620026525198945 0.0576923076923077 0.0905172413793103 0.113726790450928
ww 0.000593371196066797 0.0825633635670084 0.0762905823514453 0 0.0491650419598203 0.136305840467916 0.0679833856065101 0.0156819530389082 0.152242095447995 0.0912943968805629 0.121725862507417 0.20615410697635
