crop fb gr1 gr2 ma or ot po sb sw wb ww
fb 0.00998003992015968 0.0678642714570858 0 0.0159680638722555 0.00998003992015968 0.0698602794411178 0 0.0259481037924152 0.0379241516966068 0.141716566866268 0.620758483033932
gr1 0 0 1 0 0 0 0 0 0 0 0
gr2 0.0204572803850783 0 0.406738868832731 0.188628158844766 0.0159446450060168 0.0881468110709989 0.00391095066185318 0.0472322503008424 0.0379061371841156 0.0625752105896511 0.128459687123947
ma 0.00492610837438435 0.130049261083743 0 0.38128078817734 0.00147783251231527 0.0931034482758621 0.00689655172413793 0.0261083743842365 0.0334975369458128 0.0660098522167488 0.256650246305419
or 0.0036231884057971 0.00942028985507246 0 0.0130434782608696 0.00507246376811594 0.0144927536231884 0.00072463768115942 0.00942028985507246 0.0217391304347826 0.134057971014493 0.788405797101449
ot 0.0215736040609137 0.225253807106599 0 0.0932741116751269 0.0774111675126904 0.196065989847716 0.00634517766497462 0.0513959390862944 0.0602791878172589 0.092005076142132 0.176395939086294
po 0 0.181818181818182 0 0.163636363636364 0 0.0909090909090909 0 0 0.0181818181818182 0.127272727272727 0.418181818181818
sb 0.0511770726714432 0.18935516888434 0 0.0706243602865916 0.164790174002047 0.0941658137154555 0.00102354145342886 0.102354145342886 0.0890481064483112 0.14431934493347 0.0931422722620266
sw 0.0437636761487967 0.172866520787746 0 0.0634573304157549 0.135667396061269 0.0853391684901532 0.00437636761487965 0.0437636761487965 0.100656455142232 0.135667396061269 0.214442013129103
wb 0.0436288088642659 0.146814404432133 0 0.0782548476454294 0.357340720221607 0.0914127423822715 0.00692520775623269 0.0408587257617729 0.0505540166204986 0.10180055401662 0.082409972299169
ww 0.0627626050420168 0.100840336134454 0 0.127626050420168 0.121323529411765 0.101628151260504 0.00446428571428571 0.0845588235294118 0.0766806722689076 0.170693277310924 0.149422268907563
