crop fb gr1 gr2 ma or ot po sb sw wb ww
fb 0 0.0588235294117647 0 0.176470588235294 0 0.117647058823529 0 0.0588235294117647 0.0588235294117647 0.11764705882353 0.411764705882353
gr1 0 0 1 0 0 0 0 0 0 0 0
gr2 0 0 0.79136690647482 0.079136690647482 0.00719424460431695 0.0647482014388489 0.00719424460431654 0.00719424460431654 0.0215827338129497 0 0.0215827338129497
ma 0 0.416666666666667 0 0.166666666666667 0 0.25 0 0 0 0 0.166666666666666
or 0 0.0952380952380952 0 0 0 0 0 0.0476190476190476 0.0476190476190476 0.0952380952380956 0.714285714285714
ot 0 0.217391304347826 0 0.130434782608696 0.0869565217391304 0.347826086956522 0 0 0.0434782608695652 0.130434782608696 0.0434782608695643
po 0 0 0 0 0 0.2 0.2 0 0.2 0.2 0.2
sb 0 0.166666666666667 0 0.0555555555555556 0.111111111111111 0.222222222222222 0 0.111111111111111 0 0.277777777777778 0.0555555555555557
sw 0 0.25 0 0 0 0.25 0 0.25 0 0.25 0
wb 0 0.0333333333333333 0 0.0333333333333333 0.333333333333333 0.1 0.0333333333333333 0.0666666666666667 0 0.4 0
ww 0 0.0185185185185185 0 0.111111111111111 0.259259259259259 0.0740740740740745 0 0.037037037037037 0.037037037037037 0.185185185185185 0.277777777777778
