crop fb gr1 gr2 ma or ot po sb sw wb ww
fb 0 0.294871794871795 0 0.047008547008547 0.0170940170940171 0.115384615384615 0.00854700854700855 0.0811965811965814 0.0299145299145299 0.102564102564103 0.303418803418803
gr1 0 0 1 0 0 0 0 0 0 0 0
gr2 0.00493614353992007 0 0.800282065345139 0.0493614353992007 0.00376087126851053 0.033377732508031 0.00908877223223392 0.0391757423803179 0.0162187573454512 0.0136331583483507 0.0301653216328448
ma 0.00239425379090184 0.142059058260176 0 0.427773343974461 0 0.0861931364724661 0.0167597765363128 0.0462889066241022 0.0343176376695934 0.0654429369513168 0.17877094972067
or 0.00181488203266788 0.0653357531760436 0 0.014519056261343 0.00544464609800374 0.0508166969147005 0.0108892921960069 0.0272232304900181 0.00907441016333938 0.147005444646098 0.667876588021779
ot 0.00321957501609787 0.396007726980039 0 0.077269800386349 0.0173857050869285 0.16613007083065 0.0218931101094652 0.108177720540889 0.0701867353509337 0.0734063103670315 0.0663232453316163
po 0.00398406374501992 0.247011952191235 0 0.0637450199203187 0 0.103585657370518 0.0318725099601594 0.131474103585657 0.0239043824701195 0.123505976095618 0.270916334661355
sb 0.00539568345323741 0.339928057553957 0 0.0407673860911271 0.0239808153477218 0.179856115107914 0.0323741007194236 0.192446043165468 0.0557553956834532 0.0761390887290168 0.0533573141486811
sw 0.00796812749003895 0.266932270916335 0 0.0637450199203187 0.0338645418326693 0.165338645418327 0.0258964143426295 0.149402390438247 0.0657370517928287 0.123505976095618 0.097609561752988
wb 0.0106122448979592 0.26938775510204 0 0.0702040816326531 0.108571428571429 0.143673469387755 0.0163265306122449 0.0857142857142857 0.0473469387755102 0.176326530612245 0.0718367346938776
ww 0.00993926007730536 0.138045278851463 0 0.105466593042518 0.116510215350635 0.0745444505797902 0.0231916068470458 0.0590833793484263 0.0419657647708454 0.199889563776919 0.231363887355052
