crop fb gr1 gr2 ma ot po sb sw wb ww
fb 0 0.5 0 0.5 0 0 0 0 0 0
gr1 0 0 1 0 0 0 0 0 0 0
gr2 0 0 0.937592867756315 0.00074294205052006 0.0133729569093611 0 0.0326894502228829 0.0156017830609213 0 0
ma 0 0.75 0 0 0.25 0 0 0 0 0
ot 0 0.594594594594595 0 0 0.297297297297297 0 0.0540540540540541 0.0270270270270271 0.027027027027027 0
po 0 0.25 0 0 0 0 0.25 0 0 0.5
sb 0 0.536842105263158 0 0.0105263157894737 0.0736842105263158 0 0.294736842105263 0.0736842105263158 0 0.0105263157894737
sw 0 0.517241379310344 0 0 0 0 0.344827586206897 0.103448275862069 0.0344827586206897 0
wb 0 0.555555555555556 0 0 0.333333333333333 0 0.111111111111111 0 0 0
ww 0 0.2 0 0 0.4 0 0.2 0 0 0.2
