"crop" "fb" "gr" "ma" "or" "ot" "po" "sb" "sw" "wb" "ww"
"fb" 0 0.0777777777777778 0.0444444444444444 0.0111111111111111 0.0888888888888889 0 0.0444444444444444 0.0333333333333333 0.0888888888888889 0.611111111111111
"gr" 0.0240963855421687 0.609939759036145 0.00753012048192771 0.0225903614457831 0.0481927710843374 0.00602409638554217 0.0677710843373494 0.0286144578313253 0.0331325301204819 0.15210843373494
"ma" 0.05 0.275 0.1 0 0.1 0 0.175 0.075 0.05 0.175
"or" 0 0.024330900243309 0 0 0.0145985401459854 0.0048661800486618 0.0413625304136253 0.0145985401459854 0.0218978102189781 0.878345498783455
"ot" 0.0230769230769231 0.223076923076923 0.00769230769230769 0.0846153846153846 0.111538461538462 0.00384615384615385 0.1 0.0615384615384615 0.142307692307692 0.242307692307692
"po" 0 0.0416666666666667 0 0 0.0833333333333333 0.0416666666666667 0.0416666666666667 0 0.0416666666666667 0.75
"sb" 0.0272727272727273 0.195454545454545 0.0272727272727273 0.0545454545454545 0.0954545454545455 0.00909090909090909 0.15 0.0272727272727273 0.168181818181818 0.245454545454545
"sw" 0.0365296803652968 0.0593607305936073 0.0045662100456621 0.0821917808219178 0.0958904109589041 0.0091324200913242 0.123287671232877 0.045662100456621 0.301369863013699 0.242009132420091
"wb" 0.0140350877192982 0.0842105263157895 0.0140350877192982 0.454385964912281 0.0456140350877193 0.012280701754386 0.0578947368421053 0.0385964912280702 0.185964912280702 0.0929824561403509
"ww" 0.030969030969031 0.038961038961039 0.014985014985015 0.101898101898102 0.051948051948052 0.00699300699300699 0.102897102897103 0.033966033966034 0.268731268731269 0.348651348651349
