"crop" "fb" "gr" "ma" "or" "ot" "po" "sb" "sw" "wb" "ww"
"fb" 0.0126050420168067 0.0882352941176471 0.0840336134453782 0.0252100840336134 0.15546218487395 0.0504201680672269 0.0630252100840336 0.159663865546218 0.092436974789916 0.26890756302521
"gr" 0.00661577608142494 0.633333333333333 0.0926208651399491 0.00458015267175573 0.0689567430025445 0.0333333333333333 0.0493638676844784 0.032824427480916 0.0254452926208651 0.0529262086513995
"ma" 0.0118226600985222 0.100492610837438 0.529064039408867 0 0.0896551724137931 0.0315270935960591 0.0413793103448276 0.0403940886699507 0.025615763546798 0.130049261083744
"or" 0 0.0459459459459459 0.027027027027027 0.00810810810810811 0.0486486486486487 0.0216216216216216 0.0567567567567568 0.0702702702702703 0.0783783783783784 0.643243243243243
"ot" 0.0101522842639594 0.129079042784627 0.128353879622915 0.0181290790427846 0.359680928208847 0.056562726613488 0.065989847715736 0.110224800580131 0.04713560551124 0.0746918056562727
"po" 0.00500834724540901 0.0734557595993322 0.135225375626043 0.00166944908180301 0.191986644407346 0.0784641068447412 0.101836393989983 0.186978297161937 0.0484140233722871 0.176961602671119
"sb" 0.0120746432491767 0.21953896816685 0.0768386388583974 0.0241492864983535 0.133918770581778 0.0493962678375412 0.214050493962678 0.0911086717892426 0.0987925356750823 0.0801317233809001
"sw" 0.00894454382826476 0.153846153846154 0.0715563506261181 0.0250447227191413 0.175313059033989 0.0554561717352415 0.141323792486583 0.155635062611807 0.118067978533095 0.0948121645796064
"wb" 0.0146386093321134 0.145471180237877 0.0558096980786825 0.141811527904849 0.090576395242452 0.0494053064958829 0.0924062214089661 0.0494053064958829 0.247941445562672 0.112534309240622
"ww" 0.0147157190635452 0.0889632107023411 0.0929765886287625 0.0608695652173913 0.0963210702341137 0.0434782608695652 0.0668896321070234 0.0755852842809365 0.196655518394649 0.263545150501672
