"crop" "be" "fb" "gr" "ma" "or" "ot" "po" "sb" "sw" "wb" "ww"
"be" 0.0403726708074534 0.0124223602484472 0.0186335403726708 0.046583850931677 0 0.127329192546584 0.0496894409937888 0.149068322981366 0.301242236024845 0.0248447204968944 0.229813664596273
"fb" 0.0138248847926267 0.0291858678955453 0.0384024577572965 0.0230414746543779 0.0445468509984639 0.0675883256528418 0.0184331797235023 0.0537634408602151 0.0706605222734255 0.0675883256528418 0.572964669738863
"gr" 0.0121028744326778 0.0113464447806354 0.681921331316188 0.0302571860816944 0.0139939485627837 0.0487897125567322 0.0128593040847201 0.0397125567322239 0.029500756429652 0.0306354009077156 0.0888804841149773
"ma" 0.0451010886469673 0.0202177293934681 0.160186625194401 0.191290824261275 0.0015552099533437 0.150855365474339 0.0326594090202177 0.046656298600311 0.0544323483670296 0.0404354587869362 0.256609642301711
"or" 0.00231749710312862 0 0.0115874855156431 0.00289687137891078 0.00115874855156431 0.0254924681344148 0.00463499420625724 0.0231749710312862 0.0214368482039397 0.0237543453070684 0.883545770567787
"ot" 0.02465834818776 0.0184194890077243 0.268568033273916 0.0612002376708259 0.0638740344622698 0.133689839572193 0.0291146761734997 0.0573380867498515 0.0641711229946524 0.066250742721331 0.212715389185977
"po" 0.010351966873706 0.0041407867494824 0.0269151138716356 0.031055900621118 0 0.0393374741200828 0.0144927536231884 0.062111801242236 0.0890269151138716 0.0496894409937888 0.67287784679089
"sb" 0.021355617455896 0.0324976787372331 0.121634168987929 0.0399257195914578 0.15041782729805 0.0993500464252553 0.0362116991643454 0.103064066852368 0.110492107706592 0.170844939647168 0.114206128133705
"sw" 0.0219298245614035 0.0380116959064327 0.070906432748538 0.0307017543859649 0.0847953216374269 0.103801169590643 0.033625730994152 0.0804093567251462 0.105994152046784 0.196637426900585 0.233187134502924
"wb" 0.0282171868319795 0.0350577169730654 0.0688328345446772 0.0333475844377939 0.355280034202651 0.0880718255664814 0.0427533133817871 0.0589995724668662 0.0393330483112441 0.175288584865327 0.0748182984181274
"ww" 0.0327727468736524 0.0334195774040535 0.0385942216472617 0.0209141871496335 0.110608020698577 0.0808538163001294 0.0398878827080638 0.0696420871065114 0.0588615782664942 0.23738680465718 0.277059077188443
