"crop" "be" "fb" "gr" "ma" "or" "ot" "po" "sb" "sw" "wb" "ww"
"be" 0.0306451612903226 0.00967741935483871 0.0032258064516129 0.0467741935483871 0 0.174193548387097 0.0290322580645161 0.188709677419355 0.154838709677419 0.0693548387096774 0.293548387096774
"fb" 0.00327562002807674 0.0163781001403837 0.0196537201684605 0.00561534861956013 0.0393074403369209 0.0505381375760412 0.00514740290126345 0.030416471689284 0.0598970519419747 0.0739354234908751 0.69583528310716
"gr" 0.0037497070541364 0.0166393250527303 0.655495664401219 0.0299976564330912 0.028122802906023 0.0515584719943754 0.00140614014530115 0.0269510194516053 0.0318725099601594 0.0396062807593157 0.114600421842044
"ma" 0.0186666666666667 0.0133333333333333 0.112888888888889 0.223111111111111 0.00177777777777778 0.117333333333333 0.016 0.0417777777777778 0.0408888888888889 0.0817777777777778 0.332444444444444
"or" 0.00234260614934114 0.00366032210834553 0.00790629575402635 0.00366032210834553 0.000732064421669107 0.0240117130307467 0.00131771595900439 0.0185944363103953 0.0354319180087848 0.0661786237188873 0.836163982430454
"ot" 0.0183937352030596 0.0362411218357312 0.195228555818612 0.0426151884902568 0.114368967401202 0.165543616827536 0.0171189218721544 0.0449826989619377 0.0723001274813331 0.0619195046439628 0.231287561464214
"po" 0.0541586073500967 0.00193423597678917 0.011605415860735 0.0212765957446809 0 0.112185686653772 0.0328820116054159 0.0251450676982592 0.034816247582205 0.0657640232108317 0.640232108317215
"sb" 0.0292494481236203 0.0529801324503311 0.0695364238410596 0.0419426048565121 0.310706401766004 0.109271523178808 0.0126931567328918 0.0899558498896247 0.0899558498896247 0.0789183222958057 0.114790286975717
"sw" 0.0166292134831461 0.0764044943820225 0.0543820224719101 0.0256179775280899 0.237303370786517 0.101573033707865 0.00584269662921348 0.10247191011236 0.122247191011236 0.0880898876404494 0.169438202247191
"wb" 0.0210045662100457 0.0468797564687976 0.109893455098935 0.0298325722983257 0.40882800608828 0.0767123287671233 0.00852359208523592 0.043531202435312 0.0572298325722983 0.0995433789954338 0.0980213089802131
"ww" 0.0311509623560331 0.0800030919069336 0.0369482878565355 0.0320012367627734 0.293421967998763 0.0806214732936539 0.0180103578882276 0.069026822292649 0.0855685243874159 0.112236221689727 0.161011053567288
