"crop" "fb" "gr" "ma" "or" "ot" "po" "sb" "sw" "wb" "ww"
"fb" 0.00865051903114187 0.0519031141868512 0.0207612456747405 0.0190311418685121 0.0847750865051903 0.0121107266435986 0.0294117647058824 0.0363321799307958 0.107266435986159 0.629757785467128
"gr" 0.0211770499876878 0.54346220142822 0.0989903964540754 0.0160059098744152 0.0719034720512189 0.0209308052203891 0.0450627924156612 0.0302881063777395 0.0406303866042847 0.111548879586309
"ma" 0.00564971751412429 0.116133082234777 0.333333333333333 0.00188323917137476 0.101067168863779 0.0244821092278719 0.0238543628374137 0.0332705586942875 0.0885122410546139 0.271814187068424
"or" 0.00291545189504373 0.0262390670553936 0.0116618075801749 0.0192419825072886 0.0192419825072886 0.0110787172011662 0.0145772594752187 0.00816326530612245 0.0991253644314869 0.787755102040816
"ot" 0.0169082125603865 0.121376811594203 0.11231884057971 0.0772946859903382 0.228864734299517 0.036231884057971 0.0585748792270531 0.0513285024154589 0.0857487922705314 0.211352657004831
"po" 0.00465116279069767 0.0403100775193798 0.0558139534883721 0.00465116279069767 0.0666666666666667 0.00775193798449612 0.0387596899224806 0.0387596899224806 0.0930232558139535 0.649612403100775
"sb" 0.0277246653919694 0.148183556405354 0.0736137667304015 0.123326959847036 0.112810707456979 0.0583173996175908 0.0879541108986616 0.0879541108986616 0.144359464627151 0.135755258126195
"sw" 0.0411622276029056 0.104116222760291 0.0847457627118644 0.108958837772397 0.11864406779661 0.0387409200968523 0.0677966101694915 0.116222760290557 0.138014527845036 0.181598062953995
"wb" 0.0306236080178174 0.117483296213808 0.0979955456570156 0.283964365256125 0.0868596881959911 0.0473273942093541 0.0517817371937639 0.0434298440979955 0.149220489977728 0.0913140311804009
"ww" 0.0444491705657167 0.0595491280306253 0.0840068056146321 0.170565716716291 0.075712462781795 0.0572096980008507 0.044661846022969 0.0412590387069332 0.180561463207146 0.242024670353041
