"crop" "fb" "gr" "ma" "or" "ot" "po" "sb" "sw" "wb" "ww"
"fb" 0.00740740740740741 0.0567901234567901 0.0213991769547325 0.0263374485596708 0.0567901234567901 0.00493827160493827 0.0238683127572016 0.0296296296296296 0.148971193415638 0.623868312757202
"gr" 0.0116689861899154 0.63579916497163 0.0680869285943689 0.0175570067444599 0.0564179424044535 0.0168076223102452 0.0262284551975163 0.023766192056525 0.0353281233272669 0.108339578203618
"ma" 0.00526085050416484 0.109601052170101 0.280578693555458 0.000438404208680403 0.0881192459447611 0.0188513809732573 0.0241122314774222 0.0359491451117931 0.0995177553704516 0.337571240683911
"or" 0.00235238767348859 0.0136438485062338 0.00705716302046577 0.00423429781227946 0.03505057633498 0.00658668548576805 0.00893907315925664 0.0110562220653964 0.127969889437779 0.783109856504352
"ot" 0.0204187128456966 0.134918583613337 0.0907211165675885 0.0933057637632463 0.226673559059188 0.0343758077022486 0.0367019901783407 0.0591884207805635 0.102352028948049 0.201344016541742
"po" 0.00171526586620926 0.0300171526586621 0.0308747855917667 0.00343053173241852 0.0583190394511149 0.00857632933104631 0.0197255574614065 0.0334476843910806 0.201543739279588 0.612349914236707
"sb" 0.0211515863689777 0.193889541715629 0.0616921269095182 0.141598119858989 0.129259694477086 0.0252643948296122 0.0646298472385429 0.0775558166862515 0.13924794359577 0.145710928319624
"sw" 0.0318047337278107 0.111686390532544 0.0554733727810651 0.125 0.107248520710059 0.0177514792899408 0.0436390532544379 0.0894970414201183 0.150147928994083 0.267751479289941
"wb" 0.0335952316445408 0.125711189379572 0.06258466540233 0.330262801408832 0.0915740991601192 0.0363045245191005 0.0322405852072609 0.0428068274180439 0.138173936602547 0.106746139257654
"ww" 0.0462174243063169 0.0558319979758792 0.0646875263557392 0.198279497343341 0.0861938095639706 0.0498439740237834 0.0344943914986928 0.0510247111410981 0.173821371341823 0.239605296449355
