"crop" "be" "fb" "gr" "ma" "or" "ot" "po" "sb" "sw" "wb" "ww"
"be" 0.00684638425331622 0.00984167736414206 0.0183996576807873 0.032520325203252 0.000855798031664527 0.119383825417202 0.0376551133932392 0.165169020111254 0.202824133504493 0.0654685494223363 0.341035515618314
"fb" 0.0180460485376478 0.0074673304293715 0.044803982576229 0.00995644057249533 0.00808960796515246 0.0777846919726198 0.00995644057249533 0.0280024891101431 0.0199128811449907 0.0871188550093342 0.688861232109521
"gr" 0.074137341988384 0.0266484455073454 0.482405193030407 0.0457806627946703 0.0136658694909464 0.12230953194397 0.0334813802528186 0.0399726682610181 0.0372394943628288 0.0498804236419542 0.0744789887256577
"ma" 0.0615866388308977 0.00417536534446764 0.112734864300626 0.121085594989562 0.00104384133611691 0.178496868475992 0.0542797494780793 0.0647181628392484 0.0605427974947808 0.0730688935281837 0.268267223382046
"or" 0.0154307758251179 0.00257179597085298 0.0240034290612945 0.00128589798542649 0.00128589798542649 0.0330047149592799 0.0085726532361766 0.00514359194170596 0.0102871838834119 0.100728675525075 0.797685383626232
"ot" 0.0793150067598017 0.0245606128886886 0.118747183415953 0.0389815232086525 0.035601622352411 0.220594862550699 0.046417305092384 0.042812077512393 0.0556557007661109 0.0998197386210005 0.237494366831906
"po" 0.041740674955595 0.0115452930728242 0.0337477797513321 0.0364120781527531 0.00088809946714032 0.119005328596803 0.0213143872113677 0.0568383658969805 0.0648312611012433 0.0754884547069272 0.538188277087034
"sb" 0.0999005964214712 0.0596421471172962 0.0825049701789264 0.018389662027833 0.145626242544732 0.084493041749503 0.0487077534791252 0.0944333996023857 0.0685884691848907 0.154572564612326 0.143141153081511
"sw" 0.100909090909091 0.0590909090909091 0.0654545454545455 0.0172727272727273 0.108181818181818 0.118181818181818 0.0490909090909091 0.0581818181818182 0.0818181818181818 0.15 0.191818181818182
"wb" 0.163246831623416 0.0612552806276403 0.0522027761013881 0.0232347616173808 0.254375377187689 0.114061557030779 0.0591430295715148 0.0353047676523838 0.0353047676523838 0.132770066385033 0.0691007845503923
"ww" 0.147955480280668 0.0647229615291556 0.0350834744737479 0.0245584321316235 0.114928623276071 0.0886765061698524 0.0590370191144447 0.0454875393176869 0.0359303169610452 0.162351802564723 0.221267844180982
