"crop" "be" "fb" "gr" "ma" "or" "ot" "po" "sb" "sw" "wb" "ww"
"be" 0.00892857142857143 0.00925925925925926 0.00363756613756614 0.0472883597883598 0.000992063492063492 0.0691137566137566 0.0208333333333333 0.100529100529101 0.176256613756614 0.039021164021164 0.524140211640212
"fb" 0.0117454247473368 0.011472275334608 0.0305927342256214 0.010379677683693 0.00956022944550669 0.0464354001638896 0.00764818355640535 0.0169352635891833 0.0278612400983338 0.0663753072930893 0.760994263862333
"gr" 0.0315789473684211 0.0261874197689345 0.539152759948652 0.0403080872913992 0.0148908857509628 0.105519897304236 0.0174582798459564 0.0323491655969191 0.0387676508344031 0.0397946084724005 0.113992297817715
"ma" 0.0671852899575672 0.0106082036775106 0.12022630834512 0.164780763790665 0 0.135077793493635 0.0388967468175389 0.0353606789250354 0.0572842998585573 0.0693069306930693 0.301272984441301
"or" 0.00461335676625659 0.00197715289982425 0.00834797891036907 0.00175746924428822 0.000219683655536028 0.0224077328646749 0.00285588752196837 0.00571177504393673 0.0140597539543058 0.0520650263620387 0.885984182776801
"ot" 0.0508280045909165 0.0331201836366617 0.134612231513363 0.0334481062469257 0.044761436301033 0.191506804394163 0.0344318740777177 0.0398425971470733 0.058042302016724 0.0783735038530907 0.301032956222332
"po" 0.0451843043995244 0.00356718192627824 0.0124851367419738 0.0267538644470868 0.000594530321046373 0.0671819262782402 0.0107015457788347 0.0249702734839477 0.0374554102259215 0.049346016646849 0.721759809750297
"sb" 0.068287037037037 0.0925925925925926 0.0439814814814815 0.0169753086419753 0.149305555555556 0.0864197530864197 0.0285493827160494 0.100694444444444 0.0817901234567901 0.131558641975309 0.199845679012346
"sw" 0.0713386487620646 0.0851867394041125 0.0465799412505246 0.019303399076794 0.0864456567352077 0.0948384389425094 0.0381871590432228 0.0595887536718422 0.0969366344943349 0.154846831724717 0.246747796894671
"wb" 0.115964872776402 0.0785859040756586 0.0466111236208061 0.0186894843503715 0.323350596712452 0.0889439315469489 0.0355775726187796 0.0346768745777978 0.0351272235982887 0.121819410042783 0.100653006079712
"ww" 0.121379603549981 0.0853483552107137 0.0252431312111389 0.0189722059839507 0.112823510655259 0.0775894138279216 0.0550565977573471 0.0557474624010204 0.0472445129404262 0.13673805601318 0.263857150449062
