"crop" "fb" "gr" "ma" "or" "ot" "po" "sb" "sw" "wb" "ww"
"fb" 0.0116959064327485 0.0818713450292398 0.0233918128654971 0.00584795321637427 0.12280701754386 0.0233918128654971 0.0584795321637427 0.0467836257309941 0.0994152046783626 0.526315789473684
"gr" 0.00900681596884128 0.634615384615385 0.100048685491723 0.00511197663096397 0.0778967867575463 0.0194741966893866 0.0520934761441091 0.0165530671859786 0.0309152872444012 0.054284323271665
"ma" 0.00236406619385343 0.0882584712371946 0.313632781717888 0.00157604412923562 0.118203309692671 0.0228526398739165 0.0425531914893617 0.0252167060677699 0.0890464933018125 0.296296296296296
"or" 0.00245700245700246 0.0687960687960688 0.027027027027027 0.0221130221130221 0.135135135135135 0.0245700245700246 0.00982800982800983 0.00245700245700246 0.085995085995086 0.621621621621622
"ot" 0.00758097863542385 0.205375603032391 0.110957960027567 0.0213645761543763 0.304617505168849 0.0709855272226051 0.073053066850448 0.0592694693314955 0.067539627842867 0.0792556857339766
"po" 0 0.0947867298578199 0.0947867298578199 0 0.146919431279621 0.037914691943128 0.042654028436019 0.0710900473933649 0.123222748815166 0.388625592417062
"sb" 0.0341515474919957 0.193169690501601 0.0672358591248666 0.0437566702241195 0.179295624332978 0.0405549626467449 0.19957310565635 0.0821771611526147 0.102454642475987 0.0576307363927428
"sw" 0.00543478260869565 0.25 0.0978260869565217 0.0380434782608696 0.168478260869565 0.016304347826087 0.0923913043478261 0.0326086956521739 0.114130434782609 0.184782608695652
"wb" 0.0214030915576694 0.212841854934602 0.117717003567182 0.12128418549346 0.166468489892985 0.0463733650416171 0.102259215219976 0.0356718192627824 0.127229488703924 0.0487514863258026
"ww" 0.0296956198960653 0.0779510022271715 0.211581291759465 0.0868596881959911 0.115070527097253 0.0460282108389013 0.0861172976985895 0.044543429844098 0.178173719376392 0.123979213066073
