"crop" "fb" "gr" "ma" "or" "ot" "po" "sb" "sw" "wb" "ww"
"fb" 0.00570032573289902 0.111563517915309 0.0179153094462541 0.00651465798045603 0.0651465798045603 0.00570032573289902 0.0480456026058632 0.0456026058631922 0.110749185667752 0.583061889250814
"gr" 0.00797941920293015 0.636173367053283 0.0910438650039243 0.0106392256039069 0.051408389291009 0.0106828289875294 0.0576436731490364 0.0247667218976193 0.0378913403680126 0.0717711694427488
"ma" 0.0023033892727871 0.109246462652188 0.327739387956565 0.00148075024679171 0.0965778216518592 0.0115169463639355 0.0505100361961171 0.0383349786113853 0.083580125041132 0.278710102007239
"or" 0.00305021116846551 0.0326137963397466 0.012670107930549 0.00868137024870953 0.0462224307836696 0.00258094791177851 0.0211168465509151 0.015485687470671 0.108634443923041 0.748944157672454
"ot" 0.012937595129376 0.221613394216134 0.0980213089802131 0.0429223744292237 0.229071537290715 0.0232876712328767 0.0922374429223744 0.071689497716895 0.0849315068493151 0.123287671232877
"po" 0.00154559505409583 0.0958268933539413 0.0726429675425039 0 0.089644513137558 0.0231839258114374 0.080370942812983 0.0695517774343122 0.165378670788253 0.401854714064915
"sb" 0.0231073274551535 0.183794466403162 0.0591365156582548 0.152782000608088 0.119337184554576 0.0199148677409547 0.16144724840377 0.089084828215263 0.108695652173913 0.0826999087868653
"sw" 0.0209205020920502 0.16258218768679 0.0777047220561865 0.0944411237298267 0.110579796772265 0.0131500298864316 0.118350268977884 0.0944411237298267 0.117752540346683 0.190077704722056
"wb" 0.0191626409017713 0.168921095008052 0.0847020933977456 0.226247987117552 0.106924315619968 0.0186795491143317 0.105314009661836 0.0426731078904992 0.135426731078905 0.0919484702093398
"ww" 0.0326150750398256 0.0967552611721305 0.104552695564685 0.08837092311562 0.0767166932170705 0.0178586400603672 0.148738157122495 0.0765490064559403 0.183449316676448 0.174394231575417
