"crop" "fb" "gr" "ma" "or" "ot" "po" "sb" "sw" "wb" "ww"
"fb" 0 0.0588235294117647 0.176470588235294 0 0.117647058823529 0 0.0588235294117647 0.0588235294117647 0.117647058823529 0.411764705882353
"gr" 0 0.827380952380952 0.0654761904761905 0.00595238095238095 0.0535714285714286 0.00595238095238095 0.00595238095238095 0.0178571428571429 0 0.0178571428571429
"ma" 0 0.416666666666667 0.166666666666667 0 0.25 0 0 0 0 0.166666666666667
"or" 0 0.0952380952380952 0 0 0 0 0.0476190476190476 0.0476190476190476 0.0952380952380952 0.714285714285714
"ot" 0 0.217391304347826 0.130434782608696 0.0869565217391304 0.347826086956522 0 0 0.0434782608695652 0.130434782608696 0.0434782608695652
"po" 0 0 0 0 0.2 0.2 0 0.2 0.2 0.2
"sb" 0 0.166666666666667 0.0555555555555556 0.111111111111111 0.222222222222222 0 0.111111111111111 0 0.277777777777778 0.0555555555555556
"sw" 0 0.25 0 0 0.25 0 0.25 0 0.25 0
"wb" 0 0.0333333333333333 0.0333333333333333 0.333333333333333 0.1 0.0333333333333333 0.0666666666666667 0 0.4 0
"ww" 0 0.0185185185185185 0.111111111111111 0.259259259259259 0.0740740740740741 0 0.037037037037037 0.037037037037037 0.185185185185185 0.277777777777778
