"crop" "fb" "gr" "ma" "or" "ot" "po" "sb" "sw" "wb" "ww"
"fb" 0.0434782608695652 0.217391304347826 0.0869565217391304 0 0.217391304347826 0 0 0.130434782608696 0 0.304347826086957
"gr" 0.00309757356737222 0.855446566855963 0.0536912751677852 0.00671140939597315 0.0242643262777491 0.00206504904491482 0.0149716055756324 0.0103252452245741 0.00619514713474445 0.0232318017552917
"ma" 0.00389105058365759 0.101167315175097 0.517509727626459 0 0.0817120622568093 0.0155642023346304 0.0233463035019455 0.00778210116731518 0.0350194552529183 0.214007782101167
"or" 0 0.0816326530612245 0 0.0204081632653061 0.0816326530612245 0.0204081632653061 0.0612244897959184 0.0204081632653061 0.142857142857143 0.571428571428571
"ot" 0.00657894736842105 0.217105263157895 0.131578947368421 0.0328947368421053 0.361842105263158 0.0263157894736842 0.0394736842105263 0.0592105263157895 0.0723684210526316 0.0526315789473684
"po" 0.03125 0.21875 0.1875 0 0.09375 0.0625 0.09375 0.03125 0.0625 0.21875
"sb" 0.037037037037037 0.320987654320988 0.0740740740740741 0.0493827160493827 0.0864197530864197 0.0123456790123457 0.0617283950617284 0.172839506172839 0.0617283950617284 0.123456790123457
"sw" 0 0.170731707317073 0.0975609756097561 0 0.0731707317073171 0 0.0975609756097561 0.121951219512195 0.146341463414634 0.292682926829268
"wb" 0.00769230769230769 0.176923076923077 0.0692307692307692 0.115384615384615 0.123076923076923 0.0230769230769231 0.0461538461538462 0.0538461538461538 0.238461538461538 0.146153846153846
"ww" 0.00888888888888889 0.124444444444444 0.208888888888889 0.0666666666666667 0.0444444444444444 0.0177777777777778 0.0133333333333333 0.0177777777777778 0.217777777777778 0.28
