"crop" "fb" "gr" "ma" "or" "ot" "po" "sb" "sw" "wb" "ww"
"fb" 0 0.294871794871795 0.047008547008547 0.0170940170940171 0.115384615384615 0.00854700854700855 0.0811965811965812 0.0299145299145299 0.102564102564103 0.303418803418803
"gr" 0.00411442006269592 0.833529258098224 0.0411442006269592 0.00313479623824451 0.0278213166144201 0.00757575757575758 0.0326541274817137 0.0135188087774295 0.0113636363636364 0.0251436781609195
"ma" 0.00239425379090184 0.142059058260176 0.427773343974461 0 0.0861931364724661 0.0167597765363128 0.0462889066241022 0.034317637669593 0.0654429369513168 0.17877094972067
"or" 0.00181488203266788 0.0653357531760436 0.014519056261343 0.00544464609800363 0.0508166969147005 0.0108892921960073 0.0272232304900181 0.00907441016333938 0.147005444646098 0.667876588021779
"ot" 0.00321957501609787 0.396007726980039 0.077269800386349 0.0173857050869285 0.16613007083065 0.0218931101094656 0.108177720540889 0.0701867353509337 0.0734063103670315 0.0663232453316162
"po" 0.00398406374501992 0.247011952191235 0.0637450199203187 0 0.103585657370518 0.0318725099601594 0.131474103585657 0.0239043824701195 0.123505976095618 0.270916334661355
"sb" 0.00539568345323741 0.339928057553957 0.0407673860911271 0.0239808153477218 0.179856115107914 0.0323741007194245 0.192446043165468 0.0557553956834532 0.0761390887290168 0.0533573141486811
"sw" 0.00796812749003984 0.266932270916335 0.0637450199203187 0.0338645418326693 0.165338645418327 0.0258964143426295 0.149402390438247 0.0657370517928287 0.123505976095618 0.097609561752988
"wb" 0.0106122448979592 0.269387755102041 0.0702040816326531 0.108571428571429 0.143673469387755 0.0163265306122449 0.0857142857142857 0.0473469387755102 0.176326530612245 0.0718367346938776
"ww" 0.00993926007730536 0.138045278851463 0.105466593042518 0.116510215350635 0.0745444505797902 0.0231916068470458 0.0590833793484263 0.0419657647708448 0.199889563776919 0.231363887355052
